id,headline,link,author,authorProfile,date
1,Tesla employees reportedly passed around personal videos from owners’ cars,https://www.theverge.com//2023/4/6/23672760/tesla-employees-share-vehicle-recordings-privacy,Emma Roth,https://www.theverge.com//authors/emma-roth,Apr 6
2,Is it just me or is the Treasury Department firing warning shots at DeFi?,https://www.theverge.com//2023/4/6/23672991/defi-treasury-report-money-laundering,Elizabeth Lopatto,https://www.theverge.com//authors/elizabeth-lopatto,Apr 6
3,The Apple Lisa was a design revolution — and it still feels like one today,https://www.theverge.com//23669728/apple-lisa-macintosh-ui-design-history,Adi Robertson,https://www.theverge.com//authors/adi-robertson,Apr 6
4,Your laptop’s microphone might sound better than you think,https://www.theverge.com//23671137/best-laptop-microphone-test-vergecast,Andrew Marino,https://www.theverge.com//authors/andrew-marino,Apr 6
5,Twitter cuts off Substack embeds and starts suspending bots,https://www.theverge.com//2023/4/6/23673043/twitter-substack-embeds-bots-tools-api,Mitchell Clark,https://www.theverge.com//authors/mitchell-clark,Apr 6
